Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date,Email,Website,Language
Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal,5/2/2011 0:00,,lawrence.macaulay@parl.gc.ca,lawrencemacaulay.liberal.ca,English
Hon.,Peter,MacKay,Central Nova,Nova Scotia,Conservative,5/2/2011 0:00,,peter.mackay@parl.gc.ca,www.petermackay.ca,English
,Dave,MacKenzie,Oxford,Ontario,Conservative,5/2/2011 0:00,,dave.mackenzie@parl.gc.ca,www.davemackenzie.ca,English
,Larry,Maguire,Brandon—Souris,Manitoba,Conservative,11/25/2013 0:00,,Larry.Maguire@parl.gc.ca,HTTP://www.larrymaguire.ca,English
,Hoang,Mai,Brossard—La Prairie,Québec,NDP,5/2/2011 0:00,,Hoang.Mai@parl.gc.ca,v1.hoangmai.ndp.ca,French
,Wayne,Marston,Hamilton East—Stoney Creek,Ontario,NDP,5/2/2011 0:00,,wayne.marston@parl.gc.ca,www.waynemarston.ndp.ca,English
,Pat,Martin,Winnipeg Centre,Manitoba,NDP,5/2/2011 0:00,,pat.martin@parl.gc.ca,patmartin.ndp.ca,English
,Brian,Masse,Windsor West,Ontario,NDP,5/2/2011 0:00,,brian.masse@parl.gc.ca,www.brianmasse.ca,English
,Irene,Mathyssen,London—Fanshawe,Ontario,NDP,5/2/2011 0:00,,irene.mathyssen@parl.gc.ca,www.irenemathyssen.ca,English
,Elizabeth,May,Saanich—Gulf Islands,British Columbia,Green Party,5/2/2011 0:00,,Elizabeth.May@parl.gc.ca,,English
,Colin,Mayes,Okanagan—Shuswap,British Columbia,Conservative,5/2/2011 0:00,,colin.mayes@parl.gc.ca,colinmayes.ca,English
Hon.,John,McCallum,Markham—Unionville,Ontario,Liberal,5/2/2011 0:00,,john.mccallum@parl.gc.ca,johnmccallum.liberal.ca,English
,Phil,McColeman,Brant,Ontario,Conservative,5/2/2011 0:00,,phil.mccoleman@parl.gc.ca,www.philmccolemanmp.ca,English
,David,McGuinty,Ottawa South,Ontario,Liberal,5/2/2011 0:00,,david.mcguinty@parl.gc.ca,www.davidmcguinty.com,English
Hon.,John,McKay,Scarborough—Guildwood,Ontario,Liberal,5/2/2011 0:00,,john.mckay@parl.gc.ca,www.johnmckaymp.on.ca,English
,Cathy,McLeod,Kamloops—Thompson—Cariboo,British Columbia,Conservative,5/2/2011 0:00,,cathy.mcleod@parl.gc.ca,www.cathymcleod.com,English
,Costas,Menegakis,Richmond Hill,Ontario,Conservative,5/2/2011 0:00,,Costas.Menegakis@parl.gc.ca,www.costasmenegakis.ca,English
Hon.,Rob,Merrifield,Yellowhead,Alberta,Conservative,5/2/2011 0:00,,rob.merrifield@parl.gc.ca,www.merrifieldmp.com,English
,Élaine,Michaud,Portneuf—Jacques-Cartier,Québec,NDP,5/2/2011 0:00,,Elaine.Michaud@parl.gc.ca,elainemichaud.ndp.ca,French
,Larry,Miller,Bruce—Grey—Owen Sound,Ontario,Conservative,5/2/2011 0:00,,larry.miller@parl.gc.ca,www.larrymiller.ca,English
,Christine,Moore,Abitibi—Témiscamingue,Québec,NDP,5/2/2011 0:00,,Christine.Moore@parl.gc.ca,www.christinemoore.ndp.ca,French
Hon.,James,Moore,Port Moody—Westwood—Port Coquitlam,British Columbia,Conservative,5/2/2011 0:00,,james.moore@parl.gc.ca,www.jamesmoore.org,English
Hon.,Rob,Moore,Fundy Royal,New Brunswick,Conservative,5/2/2011 0:00,,rob.moore@parl.gc.ca,www.robmooremp.com,English
,Dany,Morin,Chicoutimi—Le Fjord,Québec,NDP,5/2/2011 0:00,,Dany.Morin@parl.gc.ca,danymorin.ndp.ca,French
,Isabelle,Morin,Notre-Dame-de-Grâce—Lachine,Québec,NDP,5/2/2011 0:00,,Isabelle.Morin@parl.gc.ca,isabellemorin.ndp.ca,French
,Marc-André,Morin,Laurentides—Labelle,Québec,NDP,5/2/2011 0:00,,Marc-Andre.Morin@parl.gc.ca,marcandremorin.ndp.ca,French
,Marie-Claude,Morin,Saint-Hyacinthe—Bagot,Québec,NDP,5/2/2011 0:00,,Marie-Claude.Morin@parl.gc.ca,marieclaudemorin.ndp.ca,French
,Maria,Mourani,Ahuntsic,Québec,Independent,5/2/2011 0:00,,maria.mourani@parl.gc.ca,www.mariamourani.org,French
Hon.,Thomas,Mulcair,Outremont,Québec,NDP,5/2/2011 0:00,,thomas.mulcair@parl.gc.ca,thomasmulcair.ndp.ca/home,French
,Joyce,Murray,Vancouver Quadra,British Columbia,Liberal,5/2/2011 0:00,,joyce.murray@parl.gc.ca,joycemurray.liberal.ca,English
,Pierre,Nantel,Longueuil—Pierre-Boucher,Québec,NDP,5/2/2011 0:00,,Pierre.Nantel@parl.gc.ca,pierrenantel.ndp.ca,French
,Peggy,Nash,Parkdale—High Park,Ontario,NDP,5/2/2011 0:00,,Peggy.Nash@parl.gc.ca,www.peggynash.ca,English
,Jamie,Nicholls,Vaudreuil-Soulanges,Québec,NDP,5/2/2011 0:00,,Jamie.Nicholls@parl.gc.ca,jamienicholls.ndp.ca,English
Hon.,Rob,Nicholson,Niagara Falls,Ontario,Conservative,5/2/2011 0:00,,rob.nicholson@parl.gc.ca,www.robnicholson.ca,English
,Rick,Norlock,Northumberland—Quinte West,Ontario,Conservative,5/2/2011 0:00,,rick.norlock@parl.gc.ca,www.ricknorlock.ca,English
,José,Nunez-Melo,Laval,Québec,NDP,5/2/2011 0:00,,Jose.Nunez-Melo@parl.gc.ca,josenunezmelo.ndp.ca,French
Hon.,Deepak,Obhrai,Calgary East,Alberta,Conservative,5/2/2011 0:00,,deepak.obhrai@parl.gc.ca,www.deepakobhrai.com,English
Hon.,Gordon,O'Connor,Carleton—Mississippi Mills,Ontario,Conservative,5/2/2011 0:00,,gordon.oconnor@parl.gc.ca,www.gordonoconnor.ca,English
Hon.,Joe,Oliver,Eglinton—Lawrence,Ontario,Conservative,5/2/2011 0:00,,Joe.Oliver@parl.gc.ca,www.joeoliver.ca,English
,Tilly,O'Neill Gordon,Miramichi,New Brunswick,Conservative,5/2/2011 0:00,,tilly.oneillgordon@parl.gc.ca,www.tillygordon.ca,English
,Ted,Opitz,Etobicoke Centre,Ontario,Conservative,5/2/2011 0:00,,Ted.Opitz@parl.gc.ca,www.tedopitz.ca,English
,Erin,O'Toole,Durham,Ontario,Conservative,11/26/2012 0:00,,Erin.OToole@parl.gc.ca,erinotoole.ca,English
,Massimo,Pacetti,Saint-Léonard—Saint-Michel,Québec,Liberal,5/2/2011 0:00,,massimo.pacetti@parl.gc.ca,massimopacetti.liberal.ca/en,English
,Annick,Papillon,Québec,Québec,NDP,5/2/2011 0:00,,Annick.Papillon@parl.gc.ca,annickpapillon.ndp.ca,French
Hon.,Christian,Paradis,Mégantic—L'Érable,Québec,Conservative,5/2/2011 0:00,,christian.paradis@parl.gc.ca,www.christianparadis.ca/?lang=en,French
,Claude,Patry,Jonquière—Alma,Québec,Bloc Québécois,5/2/2011 0:00,,Claude.Patry@parl.gc.ca,,French
,LaVar,Payne,Medicine Hat,Alberta,Conservative,5/2/2011 0:00,,lavar.payne@parl.gc.ca,www.lavarpayne.ca,English
,Ève,Péclet,La Pointe-de-l'Île,Québec,NDP,5/2/2011 0:00,,Eve.Peclet@parl.gc.ca,v1.evepeclet.ndp.ca,French
,Manon,Perreault,Montcalm,Québec,NDP,5/2/2011 0:00,,Manon.Perreault@parl.gc.ca,manonperreault.ndp.ca,French
,François,Pilon,Laval—Les Îles,Québec,NDP,5/2/2011 0:00,,Francois.Pilon@parl.gc.ca,www.facebook.com/pages/Fran%C3%A7ois-Pilon-NPD-Laval-Les-%C3%8Eles/320062026235?sk=wall,French
,Louis,Plamondon,Bas-Richelieu—Nicolet—Bécancour,Québec,Bloc Québécois,5/2/2011 0:00,,louis.plamondon@parl.gc.ca,www.louisplamondon.com,French
Hon.,Pierre,Poilievre,Nepean—Carleton,Ontario,Conservative,5/2/2011 0:00,,pierre.poilievre@parl.gc.ca,pierremp.ca,English
,Joe,Preston,Elgin—Middlesex—London,Ontario,Conservative,5/2/2011 0:00,,joe.preston@parl.gc.ca,www.joeprestonmp.ca,English
,Anne Minh-Thu,Quach,Beauharnois—Salaberry,Québec,NDP,5/2/2011 0:00,,AnneMinh-Thu.Quach@parl.gc.ca,anneminhthuquach.ndp.ca,French
,John,Rafferty,Thunder Bay—Rainy River,Ontario,NDP,5/2/2011 0:00,,john.rafferty@parl.gc.ca,www.johnrafferty.ndp.ca,English
Hon.,Lisa,Raitt,Halton,Ontario,Conservative,5/2/2011 0:00,,lisa.raitt@parl.gc.ca,lisaraittmp.ca,English
,James,Rajotte,Edmonton—Leduc,Alberta,Conservative,5/2/2011 0:00,,james.rajotte@parl.gc.ca,www.jamesrajottemp.ca,English
,Murray,Rankin,Victoria,British Columbia,NDP,11/26/2012 0:00,,Murray.Rankin@parl.gc.ca,murrayrankin.ndp.ca,English
,Brent,Rathgeber,Edmonton—St. Albert,Alberta,Independent,5/2/2011 0:00,,brent.rathgeber@parl.gc.ca,www.brentrathgeber.ca,English
,Mathieu,Ravignat,Pontiac,Québec,NDP,5/2/2011 0:00,,Mathieu.Ravignat@parl.gc.ca,mathieuravignat.ndp.ca,French
,Francine,Raynault,Joliette,Québec,NDP,5/2/2011 0:00,,Francine.Raynault@parl.gc.ca,francineraynault.ndp.ca,French
Hon.,Geoff,Regan,Halifax West,Nova Scotia,Liberal,5/2/2011 0:00,,geoff.regan@parl.gc.ca,www.geoffregan.ca,English
,Scott,Reid,Lanark—Frontenac—Lennox and Addington,Ontario,Conservative,5/2/2011 0:00,,scott.reid@parl.gc.ca,www.scottreid.ca,English
Hon.,Michelle,Rempel,Calgary Centre-North,Alberta,Conservative,5/2/2011 0:00,,Michelle.Rempel@parl.gc.ca,www.michellerempel.ca,English
,Blake,Richards,Wild Rose,Alberta,Conservative,5/2/2011 0:00,,blake.richards@parl.gc.ca,www.blakerichards.ca,English
Hon.,Greg,Rickford,Kenora,Ontario,Conservative,5/2/2011 0:00,,greg.rickford@parl.gc.ca,www.gregrickford.ca/?language_id=0,English
Hon.,Gerry,Ritz,Battlefords—Lloydminster,Saskatchewan,Conservative,5/2/2011 0:00,,gerry.ritz@parl.gc.ca,www.gerryritzmp.com,English
,Jean,Rousseau,Compton—Stanstead,Québec,NDP,5/2/2011 0:00,,Jean.Rousseau@parl.gc.ca,jeanrousseau.ndp.ca,French
,Romeo,Saganash,Abitibi—Baie-James—Nunavik—Eeyou,Québec,NDP,5/2/2011 0:00,,Romeo.Saganash@parl.gc.ca,romeosaganash.ndp.ca,French
,Jasbir,Sandhu,Surrey North,British Columbia,NDP,5/2/2011 0:00,,Jasbir.Sandhu@parl.gc.ca,jasbirsandhu.ndp.ca,English
,Andrew,Saxton,North Vancouver,British Columbia,Conservative,5/2/2011 0:00,,andrew.saxton@parl.gc.ca,www.andrewsaxton.ca,English
,Francis,Scarpaleggia,Lac-Saint-Louis,Québec,Liberal,5/2/2011 0:00,,francis.scarpaleggia@parl.gc.ca,,English
Hon.,Andrew,Scheer,Regina—Qu'Appelle,Saskatchewan,Conservative,5/2/2011 0:00,,andrew.scheer@parl.gc.ca,www.andrewmp.ca,English
,Gary,Schellenberger,Perth—Wellington,Ontario,Conservative,5/2/2011 0:00,,gary.schellenberger@parl.gc.ca,schellenberger.ca,English
,Craig,Scott,Toronto—Danforth,Ontario,NDP,3/19/2012 0:00,,craig.scott@parl.gc.ca,craigscott.ndp.ca,English
,Kyle,Seeback,Brampton West,Ontario,Conservative,5/2/2011 0:00,,Kyle.Seeback@parl.gc.ca,www.kyleseeback.ca,English
,Djaouida,Sellah,Saint-Bruno—Saint-Hubert,Québec,NDP,5/2/2011 0:00,,Djaouida.Sellah@parl.gc.ca,www.djaouidasellah.ndp.ca,French
Hon.,Judy,Sgro,York West,Ontario,Liberal,5/2/2011 0:00,,judy.sgro@parl.gc.ca,www.judysgro.com,English
Hon.,Gail,Shea,Egmont,Prince Edward Island,Conservative,5/2/2011 0:00,,gail.shea@parl.gc.ca,gailshea.ca,English
,Bev,Shipley,Lambton—Kent—Middlesex,Ontario,Conservative,5/2/2011 0:00,,bev.shipley@parl.gc.ca,www.bevshipley.ca,English
,Devinder,Shory,Calgary Northeast,Alberta,Conservative,5/2/2011 0:00,,devinder.shory@parl.gc.ca,devindershory.ca,English
,Scott,Simms,Bonavista—Gander—Grand Falls—Windsor,Newfoundland and Labrador,Liberal,5/2/2011 0:00,,scott.simms@parl.gc.ca,www.scottsimms.com,English
,Jinny Jogindera,Sims,Newton—North Delta,British Columbia,NDP,5/2/2011 0:00,,Jinny.Sims@parl.gc.ca,v1.jinnysims.ndp.ca,English
,Rathika,Sitsabaiesan,Scarborough—Rouge River,Ontario,NDP,5/2/2011 0:00,,Rathika.Sitsabaiesan@parl.gc.ca,rathikasitsabaiesan.ndp.ca,English
,Joy,Smith,Kildonan—St. Paul,Manitoba,Conservative,5/2/2011 0:00,,joy.smith@parl.gc.ca,www.joysmith.ca,English
,Robert,Sopuck,Dauphin—Swan River—Marquette,Manitoba,Conservative,5/2/2011 0:00,,robert.sopuck@parl.gc.ca,www.robertsopuck.ca,English
Hon.,Kevin,Sorenson,Crowfoot,Alberta,Conservative,5/2/2011 0:00,,kevin.sorenson@parl.gc.ca,www.kevinsorenson.ca,English
,Bruce,Stanton,Simcoe North,Ontario,Conservative,5/2/2011 0:00,,bruce.stanton@parl.gc.ca,www.brucestanton.ca,English
,Lise,St-Denis,Saint-Maurice—Champlain,Québec,Liberal,5/2/2011 0:00,,Lise.St-Denis@parl.gc.ca,,French
,Kennedy,Stewart,Burnaby—Douglas,British Columbia,NDP,5/2/2011 0:00,,Kennedy.Stewart@parl.gc.ca,www.kennedystewart.ca,English
,Peter,Stoffer,Sackville—Eastern Shore,Nova Scotia,NDP,5/2/2011 0:00,,peter.stoffer@parl.gc.ca,peterstoffer.ndp.ca,English
,Brian,Storseth,Westlock—St. Paul,Alberta,Conservative,5/2/2011 0:00,,brian.storseth@parl.gc.ca,www.brianstorseth.ca,English
,Mark,Strahl,Chilliwack—Fraser Canyon,British Columbia,Conservative,5/2/2011 0:00,,Mark.Strahl@parl.gc.ca,www.markstrahl.com,English
,Mike,Sullivan,York South—Weston,Ontario,NDP,5/2/2011 0:00,,Mike.Sullivan@parl.gc.ca,mikesullivan.ndp.ca,English
,David,Sweet,Ancaster—Dundas—Flamborough—Westdale,Ontario,Conservative,5/2/2011 0:00,,david.sweet@parl.gc.ca,www.davidsweet.ca,English
,Glenn,Thibeault,Sudbury,Ontario,NDP,5/2/2011 0:00,,glenn.thibeault@parl.gc.ca,v1.glennthibeault.ndp.ca,English
,David,Tilson,Dufferin—Caledon,Ontario,Conservative,5/2/2011 0:00,,david.tilson@parl.gc.ca,www.davidtilson.ca,English
,Lawrence,Toet,Elmwood—Transcona,Manitoba,Conservative,5/2/2011 0:00,,Lawrence.Toet@parl.gc.ca,www.lawrencetoet.ca/default.asp,English
,Philip,Toone,Gaspésie—Îles-de-la-Madeleine,Québec,NDP,5/2/2011 0:00,,Philip.Toone@parl.gc.ca,philiptoone.ndp.ca,French
,Jonathan,Tremblay,Montmorency—Charlevoix—Haute-Côte-Nord,Québec,NDP,5/2/2011 0:00,,Jonathan.Tremblay@parl.gc.ca,jonathantremblay.ndp.ca,French
,Brad,Trost,Saskatoon—Humboldt,Saskatchewan,Conservative,5/2/2011 0:00,,brad.trost@parl.gc.ca,www.bradtrost.ca,English
,Bernard,Trottier,Etobicoke—Lakeshore,Ontario,Conservative,5/2/2011 0:00,,Bernard.Trottier@parl.gc.ca,www.bernardtrottiermp.ca,English
,Justin,Trudeau,Papineau,Québec,Liberal,5/2/2011 0:00,,justin.trudeau@parl.gc.ca,,French
,Susan,Truppe,London North Centre,Ontario,Conservative,5/2/2011 0:00,,Susan.Truppe@parl.gc.ca,,English
,Nycole,Turmel,Hull—Aylmer,Québec,NDP,5/2/2011 0:00,,Nycole.Turmel@parl.gc.ca,nycoleturmel.ndp.ca,French
Hon.,Tim,Uppal,Edmonton—Sherwood Park,Alberta,Conservative,5/2/2011 0:00,,tim.uppal@parl.gc.ca,www.timuppal.ca,English
Hon.,Bernard,Valcourt,Madawaska—Restigouche,New Brunswick,Conservative,5/2/2011 0:00,,Bernard.Valcourt@parl.gc.ca,,French
,Frank,Valeriote,Guelph,Ontario,Liberal,5/2/2011 0:00,,Frank.valeriote@parl.gc.ca,www.frankvaleriotemp.ca,English
,Dave,Van Kesteren,Chatham-Kent—Essex,Ontario,Conservative,5/2/2011 0:00,,dave.vankesteren@parl.gc.ca,www.davevankesteren.ca,English
Hon.,Peter,Van Loan,York—Simcoe,Ontario,Conservative,5/2/2011 0:00,,peter.vanloan@parl.gc.ca,www.petervanloan.com,English
,Maurice,Vellacott,Saskatoon—Wanuskewin,Saskatchewan,Conservative,5/2/2011 0:00,,maurice.vellacott@parl.gc.ca,www.mauricevellacott.ca,English
,Mike,Wallace,Burlington,Ontario,Conservative,5/2/2011 0:00,,mike.wallace@parl.gc.ca,www.mikewallacemp.ca,English
,Mark,Warawa,Langley,British Columbia,Conservative,5/2/2011 0:00,,mark.warawa@parl.gc.ca,www.markwarawa.com,English
,Chris,Warkentin,Peace River,Alberta,Conservative,5/2/2011 0:00,,chris.warkentin@parl.gc.ca,www.chriswarkentin.ca,English
,Jeff,Watson,Essex,Ontario,Conservative,5/2/2011 0:00,,jeff.watson@parl.gc.ca,www.jeffwatsonmp.ca,English
,John,Weston,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,Conservative,5/2/2011 0:00,,john.weston@parl.gc.ca,www.johnweston.ca,English
,Rodney,Weston,Saint John,New Brunswick,Conservative,5/2/2011 0:00,,rodney.weston@parl.gc.ca,www.rodneyweston.ca,English
,David,Wilks,Kootenay—Columbia,British Columbia,Conservative,5/2/2011 0:00,,David.Wilks@parl.gc.ca,www.david-wilks.ca/home,English
,John,Williamson,New Brunswick Southwest,New Brunswick,Conservative,5/2/2011 0:00,,John.Williamson@parl.gc.ca,johnwilliamsonmp.com,English
Hon.,Alice,Wong,Richmond,British Columbia,Conservative,5/2/2011 0:00,,alice.wong@parl.gc.ca,www.alicewong.ca,English
,Stephen,Woodworth,Kitchener Centre,Ontario,Conservative,5/2/2011 0:00,,stephen.woodworth@parl.gc.ca,www.stephenwoodworth.ca,English
Hon.,Lynne,Yelich,Blackstrap,Saskatchewan,Conservative,5/2/2011 0:00,,lynne.yelich@parl.gc.ca,www.lynneyelich.ca,English
,Terence,Young,Oakville,Ontario,Conservative,5/2/2011 0:00,,terence.young@parl.gc.ca,www.terenceyoung.com,English
,Wai,Young,Vancouver South,British Columbia,Conservative,5/2/2011 0:00,,Wai.Young@parl.gc.ca,waiyoung.ca,English
,Bob,Zimmer,Prince George—Peace River,British Columbia,Conservative,5/2/2011 0:00,,Bob.Zimmer@parl.gc.ca,www.bobzimmer.ca,English
